Date,ConnType,Lat,Lon,Debit descendant,Debit montant,Latence,Nom de serveur,InternalIp,ExternalIp
"2015-10-27 07:41","Hspap","14.70545","-17.47663",6.88,0.88,43,"Dakar","10.244.50.122","154.65.32.117"
"2015-10-15 09:25","Hspap","14.70462","-17.47542",4.09,0.56,39,"Dakar","10.244.188.35","154.65.34.203"
"2015-10-13 16:02","Hspap","14.73978","-17.46149",6.06,0.42,37,"Dakar","10.246.21.168","154.65.34.200"
"2015-10-13 11:52","Hspap","14.70726","-17.47524",7.64,0.89,65,"Bissau","10.244.191.70","154.65.34.206"
"2015-10-13 10:54","Hspap","14.70473","-17.47546",8.15,1.30,37,"Dakar","10.244.92.108","154.65.32.105"
"2015-10-03 23:25","Hspap","14.72726","-17.47188",7.01,1.03,58,"Dakar","192.168.43.1, 10.244.247.46","154.65.34.206"
"2015-10-03 23:24","Hspap","14.72726","-17.47188",3.94,0.95,48,"Dakar","192.168.43.1, 10.244.247.46","154.65.34.206"
"2015-10-03 22:52","Hspap","14.72726","-17.47188",4.27,0.53,51,"Dakar","10.244.247.46","154.65.34.206"
"2015-10-03 06:05","Hspap","14.70423","-17.47496",10.64,1.30,39,"Dakar","10.244.72.199","154.65.32.76"
"2015-10-03 00:19","Hspap","14.72602","-17.48139",4.54,0.60,41,"Dakar","10.244.177.198","154.65.34.206"
"2015-10-02 23:59","Hspap","14.72476","-17.47392",3.95,0.54,47,"Dakar","10.244.199.193","154.65.32.82"
"2015-10-02 23:46","Hspap","14.72326","-17.47514",0.68,0.67,52,"Dakar","10.244.109.6","154.65.32.105"
"2015-10-02 08:17","Hspap","14.70702","-17.47845",0.77,0.05,272,"Bissau","10.244.69.66","154.65.32.50"
"2015-10-02 06:20","Hspap","14.70466","-17.47551",6.91,1.27,48,"Dakar","10.244.122.211","154.65.32.13"
